Datetime,Open,High,Low,Close,Volume,OpenInterest
2020-02-03 09:01:00,3241.75,3242.0,3241.5,3241.75,767,0
2020-02-03 09:02:00,3241.5,3241.75,3241.25,3241.25,517,0
2020-02-03 09:03:00,3241.25,3241.25,3240.25,3240.75,962,0
2020-02-03 09:04:00,3240.5,3241.5,3240.5,3241.25,511,0
2020-02-03 09:05:00,3241.25,3242.0,3241.0,3242.0,467,0
2020-02-03 09:06:00,3242.0,3242.0,3241.5,3241.5,481,0
2020-02-03 09:07:00,3241.5,3241.75,3241.25,3241.5,548,0
2020-02-03 09:08:00,3241.75,3242.25,3241.5,3242.0,663,0
2020-02-03 09:09:00,3242.0,3242.5,3242.0,3242.5,95,0
2020-02-03 09:10:00,3242.25,3242.75,3241.5,3241.5,1121,0
2020-02-03 09:11:00,3241.25,3241.75,3240.75,3240.75,489,0
2020-02-03 09:12:00,3240.75,3241.25,3240.75,3240.75,1219,0
2020-02-03 09:13:00,3240.75,3241.5,3240.75,3241.25,752,0
2020-02-03 09:14:00,3241.5,3241.75,3240.75,3241.0,1054,0
2020-02-03 09:15:00,3240.75,3241.5,3240.25,3240.5,921,0
2020-02-03 09:16:00,3240.5,3241.0,3240.25,3240.75,1205,0
2020-02-03 09:17:00,3241.0,3241.0,3240.25,3240.5,441,0
2020-02-03 09:18:00,3240.5,3241.5,3240.5,3241.0,707,0
2020-02-03 09:19:00,3241.0,3241.25,3240.5,3240.75,663,0
2020-02-03 09:20:00,3240.5,3240.75,3239.0,3239.25,1686,0
2020-02-03 09:21:00,3239.25,3240.0,3239.25,3239.75,979,0
2020-02-03 09:22:00,3239.75,3240.25,3239.5,3240.0,1052,0
2020-02-03 09:23:00,3240.0,3240.0,3239.25,3239.75,922,0
2020-02-03 09:24:00,3239.75,3240.5,3239.5,3240.0,1247,0
2020-02-03 09:25:00,3240.0,3240.75,3239.75,3240.5,1143,0
2020-02-03 09:26:00,3240.5,3241.0,3240.25,3240.25,719,0
2020-02-03 09:27:00,3240.5,3240.75,3240.0,3240.25,1445,0
2020-02-03 09:28:00,3240.5,3240.75,3240.25,3240.5,1052,0
2020-02-03 09:29:00,3240.25,3240.25,3238.75,3239.0,1727,0
2020-02-03 09:30:00,3239.0,3239.5,3238.75,3239.0,1550,0
2020-02-03 09:31:00,3239.25,3243.5,3237.75,3243.25,18796,0
2020-02-03 09:32:00,3243.25,3243.75,3242.25,3243.5,8357,0
2020-02-03 09:33:00,3243.5,3243.75,3241.25,3242.5,7118,0
2020-02-03 09:34:00,3242.5,3243.75,3241.0,3242.25,7332,0
2020-02-03 09:35:00,3242.25,3244.0,3241.5,3244.0,8478,0
2020-02-03 09:36:00,3244.0,3246.5,3244.0,3246.5,8601,0
2020-02-03 09:37:00,3246.5,3247.75,3245.25,3247.75,6822,0
2020-02-03 09:38:00,3247.75,3249.0,3247.25,3248.5,6552,0
2020-02-03 09:39:00,3248.75,3249.25,3247.75,3248.0,6770,0
2020-02-03 09:40:00,3248.25,3248.5,3247.25,3247.25,6603,0
2020-02-03 09:41:00,3247.5,3248.75,3247.25,3247.75,7105,0
2020-02-03 09:42:00,3247.75,3248.75,3247.0,3247.5,6164,0
2020-02-03 09:43:00,3247.75,3248.5,3247.5,3248.0,3179,0
2020-02-03 09:44:00,3248.25,3249.0,3247.75,3249.0,3163,0
2020-02-03 09:45:00,3249.0,3249.25,3248.75,3249.25,2746,0
2020-02-03 09:46:00,3249.25,3253.5,3249.0,3253.0,11654,0
2020-02-03 09:47:00,3253.25,3254.5,3253.0,3253.75,7900,0
2020-02-03 09:48:00,3253.5,3255.0,3253.5,3254.5,6874,0
2020-02-03 09:49:00,3254.75,3255.5,3253.75,3255.0,7882,0
2020-02-03 09:50:00,3255.0,3255.5,3254.0,3254.75,4492,0
2020-02-03 09:51:00,3255.0,3255.75,3254.25,3255.25,5268,0
2020-02-03 09:52:00,3255.5,3256.0,3254.75,3255.25,4661,0
2020-02-03 09:53:00,3255.0,3255.75,3254.5,3254.75,3809,0
2020-02-03 09:54:00,3255.0,3256.75,3255.0,3256.0,5461,0
2020-02-03 09:55:00,3256.25,3257.75,3256.25,3256.5,7313,0
2020-02-03 09:56:00,3256.75,3257.5,3256.0,3256.25,5372,0
2020-02-03 09:57:00,3256.5,3257.5,3256.0,3257.0,4952,0
2020-02-03 09:58:00,3257.25,3257.75,3256.75,3257.75,4064,0
2020-02-03 09:59:00,3257.5,3257.75,3256.75,3257.5,2659,0
2020-02-03 10:00:00,3257.5,3257.75,3256.5,3257.5,2604,0
2020-02-03 10:01:00,3257.5,3264.5,3257.5,3261.75,19256,0
2020-02-03 10:02:00,3262.0,3263.25,3261.0,3261.5,12195,0
2020-02-03 10:03:00,3261.5,3262.5,3260.75,3262.25,9208,0
2020-02-03 10:04:00,3262.25,3264.75,3262.0,3264.5,9763,0
2020-02-03 10:05:00,3264.75,3264.75,3262.25,3262.75,9232,0
